지역,공원수,공원면적,인구,면적,구별공원면적,인당공원면적
강남구,7,3626398,544055,39500000.0,9.180754430379746,6.665498892575199
강동구,7,1526390,463998,24590000.0,6.207360715738105,3.289647800206035
강북구,4,3714902,311569,23600000.0,15.741110169491526,11.923208021337167
강서구,9,2194154,585901,41440000.0,5.294773166023166,3.744922777056192
관악구,2,10431453,509803,29570000.0,35.277149137639505,20.46173325774858
광진구,2,584002,360109,17060000.0,3.423223915592028,1.6217367519278885
구로구,4,1617657,432488,20120000.0,8.040044731610339,3.7403511773737073
금천구,4,57568,247835,13020000.0,0.4421505376344086,0.23228357576613473
노원구,2,12024307,527032,35440000.0,33.92863148984199,22.8151364623021
도봉구,6,1084218,327361,20650000.0,5.250450363196126,3.3119950146779855
동대문구,4,458664,357014,14220000.0,3.2254852320675105,1.284722727960248
동작구,7,3706739,401572,16350000.000000002,22.671186544342508,9.230571354576515
마포구,5,2685112,381858,23850000.0,11.258331236897275,7.031702884318254
서대문구,4,3321477,322952,17630000.0,18.839914917753827,10.284738908568457
서초구,6,13359636,429025,46980000.0,28.43685823754789,31.139527999533826
성동구,5,626839,300505,16860000.0,3.717906287069988,2.0859519808322657
성북구,3,1198327,447056,24580000.0,4.875211554109032,2.680485218854014
송파구,7,2838993,673926,33870000.0,8.382028343666962,4.212618299338503
양천구,5,1203428,457781,17410000.0,6.912280298678921,2.6288290689216023
영등포구,5,424446,407367,24550000.0,1.7289042769857432,1.0419253400496358
용산구,2,247194,244645,21870000.0,1.1302880658436214,1.0104191788101127
은평구,7,2986459,484043,29710000.0,10.052032985526758,6.169821689395364
종로구,12,3907681,158996,23910000.0,16.34329150982852,24.57722835794611
중구,4,2943304,134635,9960000.0,29.551244979919677,21.861358487763212
중랑구,6,7078975,399562,18500000.0,38.26472972972973,17.716837436993508
